Follow ArmA 2 RCon on twitter or facebook in order to stay up to date!
http://twitter.com/solicus
http://www.facebook.com/solicusoftware
Thanks. :)
Connected to 94.242.227.218:2362
(2012-12-02 | 16:02:21) : RCon admin #2 (90.210.114.162:62364) logged in
(2012-12-02 | 16:03:39) : Player #11 Hops disconnected
(2012-12-02 | 16:03:41) : Player #0 BNS | Chriss disconnected
(2012-12-02 | 16:03:42) : Player #0 Lamora (85.150.94.33:3664) connected
(2012-12-02 | 16:03:44) : Player #12 RICHARD (44b80baaf574ee8f34a744947d5e5393) has been kicked by BattlEye: Client not responding
(2012-12-02 | 16:03:44) : Player #0 Lamora - GUID: 893cd0e6261308a5cc03097e3caabe21 (unverified)
(2012-12-02 | 16:03:45) : Verified GUID (893cd0e6261308a5cc03097e3caabe21) of player #0 Lamora
(2012-12-02 | 16:03:49) : Player #0 Lamora disconnected
(2012-12-02 | 16:03:49) : CreateVehicle Log: #13 Jenny (97241f970642551ae31286320480176d) - #62 "WeaponHolder" 308:9 [11477,11381,318]
(2012-12-02 | 16:03:53) : Player #13 Jenny disconnected
(2012-12-02 | 16:03:54) : CreateVehicle Log: #10 NWind (15700da141ea25ee79ec1d25571f799c) - #62 "z_teacher" 274:334 [10564,8146,227]
(2012-12-02 | 16:03:55) : CreateVehicle Log: #10 NWind (15700da141ea25ee79ec1d25571f799c) - #62 "z_teacher" 274:336 [10523,8113,229]
(2012-12-02 | 16:03:56) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_hunter" 244:426 [4642,6836,278]
(2012-12-02 | 16:03:56) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_villager2" 244:428 [4635,6855,279]
(2012-12-02 | 16:03:56) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_villager2" 244:430 [4655,6835,277]
(2012-12-02 | 16:03:56) : CreateVehicle Log: #10 NWind (15700da141ea25ee79ec1d25571f799c) - #62 "z_villager2" 274:338 [10554,8087,226]
(2012-12-02 | 16:03:57) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "z_hunter" 244:432 [4621,6871,281]
(2012-12-02 | 16:03:57) : CreateVehicle Log: #10 NWind (15700da141ea25ee79ec1d25571f799c) - #62 "z_villager2" 274:340 [10554,8077,225]
(2012-12-02 | 16:03:59) : CreateVehicle Log: #10 NWind (15700da141ea25ee79ec1d25571f799c) - #62 "z_villager3" 274:342 [10565,8046,215]
(2012-12-02 | 16:04:00) : CreateVehicle Log: #10 NWind (15700da141ea25ee79ec1d25571f799c) - #62 "z_teacher" 274:344 [10563,8003,209]
(2012-12-02 | 16:04:48) : Player #0 Qwatos (95.170.116.203:2304) connected
(2012-12-02 | 16:04:50) : Player #0 Qwatos - GUID: 6a224667408ebb9b45548f48c40692b8 (unverified)
(2012-12-02 | 16:04:50) : Verified GUID (6a224667408ebb9b45548f48c40692b8) of player #0 Qwatos
(2012-12-02 | 16:05:07) : Player #1 Cipher (90.210.114.162:2364) connected
(2012-12-02 | 16:05:08) : Player #1 Cipher - GUID: b4ee08be3a3155c5d8b921d830335877 (unverified)
(2012-12-02 | 16:05:09) : Verified GUID (b4ee08be3a3155c5d8b921d830335877) of player #1 Cipher
(2012-12-02 | 16:05:13) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "Rabbit" 244:434 [4259,6913,288]
(2012-12-02 | 16:05:22) : Player #4 euannr (78.155.228.128:43468) connected
(2012-12-02 | 16:05:26) : Player #4 euannr - GUID: 1dfe5bd552add9c137cc1369b7e3be99 (unverified)
(2012-12-02 | 16:05:26) : Verified GUID (1dfe5bd552add9c137cc1369b7e3be99) of player #4 euannr
(2012-12-02 | 16:05:27) : CreateVehicle Log: #10 NWind (15700da141ea25ee79ec1d25571f799c) - #62 "Goat" 274:346 [10472,8612,236]
(2012-12-02 | 16:05:32) : Player #7 Jenny (93.95.146.204:2304) connected
(2012-12-02 | 16:05:34) : Player #7 Jenny - GUID: 97241f970642551ae31286320480176d (unverified)
(2012-12-02 | 16:05:34) : Verified GUID (97241f970642551ae31286320480176d) of player #7 Jenny
(2012-12-02 | 16:05:34) : CreateVehicle Log: #10 NWind (15700da141ea25ee79ec1d25571f799c) - #62 "WildBoar" 274:348 [10661,7612,224]
(2012-12-02 | 16:05:41) : Player #9 Delta Ryan  (80.192.81.222:2364) connected
(2012-12-02 | 16:05:42) : Player #9 Delta Ryan  - GUID: a3575c43be955450004883874c6ee93a (unverified)
(2012-12-02 | 16:05:42) : Verified GUID (a3575c43be955450004883874c6ee93a) of player #9 Delta Ryan 
(2012-12-02 | 16:05:44) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "WildBoar" 244:436 [4421,6899,277]
(2012-12-02 | 16:05:47) : Player #11 Si (2.98.194.84:2364) connected
(2012-12-02 | 16:05:48) : Player #11 Si - GUID: f82bf8ae478c83152c31530509c30dc0 (unverified)
(2012-12-02 | 16:05:48) : Verified GUID (f82bf8ae478c83152c31530509c30dc0) of player #11 Si
(2012-12-02 | 16:05:50) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "WildBoar" 244:438 [5134,6512,271]
(2012-12-02 | 16:06:07) : Player #12 RICHARD (81.141.148.9:2364) connected
(2012-12-02 | 16:06:08) : Player #12 RICHARD - GUID: 44b80baaf574ee8f34a744947d5e5393 (unverified)
(2012-12-02 | 16:06:09) : Verified GUID (44b80baaf574ee8f34a744947d5e5393) of player #12 RICHARD
(2012-12-02 | 16:06:18) : CreateVehicle Log: #1 Cipher (b4ee08be3a3155c5d8b921d830335877) - #62 "WeaponHolder" 311:2 [-18623,25856,369]
(2012-12-02 | 16:06:18) : CreateVehicle Log: #1 Cipher (b4ee08be3a3155c5d8b921d830335877) - #62 "Bandit1_DZ" 311:5 [0,0,0]
(2012-12-02 | 16:06:18) : CreateVehicle Log: #1 Cipher (b4ee08be3a3155c5d8b921d830335877) - #62 "DZ_ALICE_Pack_EP1" 311:7 [0,0,0]
(2012-12-02 | 16:06:19) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "WeaponHolder" 313:2 [-18677,25875,375]
(2012-12-02 | 16:06:19) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "Survivor2_DZ" 313:5 [0,0,0]
(2012-12-02 | 16:06:19) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "DZ_CivilBackpack_EP1" 313:7 [0,0,0]
(2012-12-02 | 16:06:22) : CreateVehicle Log: #5 [TCC] Daniel (5e2da9e64af582f509038eeb07b0a98a) - #62 "WeaponHolder" 237:614 [-18666,25882,374]
(2012-12-02 | 16:06:22) : CreateVehicle Log: #5 [TCC] Daniel (5e2da9e64af582f509038eeb07b0a98a) - #62 "Camo1_DZ" 237:617 [0,0,0]
(2012-12-02 | 16:06:22) : CreateVehicle Log: #5 [TCC] Daniel (5e2da9e64af582f509038eeb07b0a98a) - #62 "DZ_ALICE_Pack_EP1" 237:619 [0,0,0]
(2012-12-02 | 16:06:23) : Player #13 Pharazon (89.245.124.127:2364) connected
(2012-12-02 | 16:06:23) : CreateVehicle Log: #1 Cipher (b4ee08be3a3155c5d8b921d830335877) - #62 "z_policeman" 311:8 [7092,9976,364]
(2012-12-02 | 16:06:23) : CreateVehicle Log: #1 Cipher (b4ee08be3a3155c5d8b921d830335877) - #62 "z_soldier_heavy" 311:10 [7046,9970,361]
(2012-12-02 | 16:06:23) : Player #13 Pharazon - GUID: 6dcebd744825fa1f7f75ad907bf2ff99 (unverified)
(2012-12-02 | 16:06:23) : Verified GUID (6dcebd744825fa1f7f75ad907bf2ff99) of player #13 Pharazon
(2012-12-02 | 16:06:24) : CreateVehicle Log: #1 Cipher (b4ee08be3a3155c5d8b921d830335877) - #62 "z_soldier_heavy" 311:12 [7065,9920,369]
(2012-12-02 | 16:06:24) : CreateVehicle Log: #1 Cipher (b4ee08be3a3155c5d8b921d830335877) - #62 "WeaponHolder" 311:14 [7215,9958,379]
(2012-12-02 | 16:06:27) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "WeaponHolder" 315:2 [-18649,25813,378]
(2012-12-02 | 16:06:27) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "Survivor2_DZ" 315:5 [0,0,0]
(2012-12-02 | 16:06:27) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "DZ_ALICE_Pack_EP1" 315:7 [0,0,0]
(2012-12-02 | 16:06:32) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "WildBoar" 244:440 [5253,6810,270]
(2012-12-02 | 16:06:35) : Player #14 BNS | Alex (86.114.1.124:2364) connected
(2012-12-02 | 16:06:35) : Player #15 BNS | Chriss (80.222.206.50:2364) connected
(2012-12-02 | 16:06:36) : Verified GUID (b75b6c6263b8cff0779254c424733932) of player #14 BNS | Alex
(2012-12-02 | 16:06:37) : Player #15 BNS | Chriss - GUID: c7d0b10c1602952d1473e6c0de35fd23 (unverified)
(2012-12-02 | 16:06:37) : Verified GUID (c7d0b10c1602952d1473e6c0de35fd23) of player #15 BNS | Chriss
(2012-12-02 | 16:06:44) : Player #16 Lamora (85.150.94.33:3762) connected
(2012-12-02 | 16:06:45) : Player #16 Lamora - GUID: 893cd0e6261308a5cc03097e3caabe21 (unverified)
(2012-12-02 | 16:06:46) : Verified GUID (893cd0e6261308a5cc03097e3caabe21) of player #16 Lamora
(2012-12-02 | 16:06:46) : Player #17 [TCC] Margaret Thatcher (82.45.99.141:2364) connected
(2012-12-02 | 16:06:46) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_hunter" 315:12 [6693,2453,6]
(2012-12-02 | 16:06:46) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_hunter" 315:14 [6747,2460,6]
(2012-12-02 | 16:06:48) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "WildBoar" 244:442 [4843,7009,288]
(2012-12-02 | 16:06:49) : Player #17 [TCC] Margaret Thatcher - GUID: 39a9d14e9f5af462003d5efa4b5d6330 (unverified)
(2012-12-02 | 16:06:49) : Verified GUID (39a9d14e9f5af462003d5efa4b5d6330) of player #17 [TCC] Margaret Thatcher
(2012-12-02 | 16:06:49) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_hunter" 315:16 [6749,2511,6]
(2012-12-02 | 16:06:49) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_teacher" 315:18 [6787,2480,24]
(2012-12-02 | 16:06:50) : Player #18 Hops (91.214.128.107:55544) connected
(2012-12-02 | 16:06:52) : Player #18 Hops - GUID: 5f3e3d8bc0d862a586a43b3a3b511358 (unverified)
(2012-12-02 | 16:06:53) : Verified GUID (5f3e3d8bc0d862a586a43b3a3b511358) of player #18 Hops
(2012-12-02 | 16:06:53) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager1" 315:20 [6792,2590,6]
(2012-12-02 | 16:06:53) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_hunter" 315:22 [6762,2560,6]
(2012-12-02 | 16:06:53) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager1" 315:24 [6741,2576,6]
(2012-12-02 | 16:06:53) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_hunter" 315:26 [6825,2354,6]
(2012-12-02 | 16:06:54) : CreateVehicle Log: #10 NWind (15700da141ea25ee79ec1d25571f799c) - #62 "WeaponHolder" 274:350 [10291,7871,217]
(2012-12-02 | 16:06:54) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager2" 315:28 [6821,2348,6]
(2012-12-02 | 16:06:54) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_teacher" 315:30 [6756,2419,6]
(2012-12-02 | 16:06:54) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager2" 315:32 [6784,2383,6]
(2012-12-02 | 16:06:59) : CreateVehicle Log: #14 BNS | Alex (b75b6c6263b8cff0779254c424733932) - #62 "WeaponHolder" 318:2 [-18634,25822,375]
(2012-12-02 | 16:06:59) : CreateVehicle Log: #14 BNS | Alex (b75b6c6263b8cff0779254c424733932) - #62 "Sniper1_DZ" 318:5 [0,0,0]
(2012-12-02 | 16:06:59) : CreateVehicle Log: #14 BNS | Alex (b75b6c6263b8cff0779254c424733932) - #62 "DZ_ALICE_Pack_EP1" 318:7 [0,0,0]
(2012-12-02 | 16:06:59) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "Cow01" 244:444 [5428,7425,311]
(2012-12-02 | 16:07:01) : CreateVehicle Log: #7 Jenny (97241f970642551ae31286320480176d) - #62 "Hen" 313:8 [12210,10991,122]
(2012-12-02 | 16:07:02) : Player #10 NWind disconnected
(2012-12-02 | 16:07:02) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "zZombie_Base" 315:34 [6812,2461,6]
(2012-12-02 | 16:07:02) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_soldier_heavy" 315:36 [6786,2425,6]
(2012-12-02 | 16:07:02) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_suit1" 315:38 [6799,2493,6]
(2012-12-02 | 16:07:03) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_soldier_heavy" 315:40 [6834,2459,6]
(2012-12-02 | 16:07:03) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "zZombie_Base" 315:42 [6806,2478,6]
(2012-12-02 | 16:07:03) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_suit1" 315:44 [6798,2456,6]
(2012-12-02 | 16:07:03) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_suit1" 315:46 [6808,2426,6]
(2012-12-02 | 16:07:04) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_suit2" 315:48 [6821,2443,6]
(2012-12-02 | 16:07:05) : CreateVehicle Log: #2 Rauk (6bb6425af2586ff998976a0b22fe6964) - #62 "Goat" 244:446 [5553,7863,318]
(2012-12-02 | 16:07:12) : Player #10 Nomad (79.203.28.254:2364) connected
(2012-12-02 | 16:07:13) : Player #19 SET_CAT (85.253.55.81:2304) connected
(2012-12-02 | 16:07:14) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager1" 315:50 [6802,2531,19]
(2012-12-02 | 16:07:14) : Player #19 SET_CAT - GUID: c7aab60e0359a500cafd0dcf7877e9ce (unverified)
(2012-12-02 | 16:07:14) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager1" 315:52 [6836,2501,6]
(2012-12-02 | 16:07:15) : Verified GUID (c7aab60e0359a500cafd0dcf7877e9ce) of player #19 SET_CAT
(2012-12-02 | 16:07:15) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_worker2" 315:54 [6810,2586,6]
(2012-12-02 | 16:07:15) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_worker3" 315:56 [6819,2535,6]
(2012-12-02 | 16:07:15) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager2" 315:58 [6822,2656,6]
(2012-12-02 | 16:07:16) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_villager1" 315:60 [6787,2621,6]
(2012-12-02 | 16:07:16) : Player #10 Nomad - GUID: 8bc61e253f73dab97620b66e21d9f72e (unverified)
(2012-12-02 | 16:07:17) : Verified GUID (8bc61e253f73dab97620b66e21d9f72e) of player #10 Nomad
(2012-12-02 | 16:07:17) : CreateVehicle Log: #14 BNS | Alex (b75b6c6263b8cff0779254c424733932) - #62 "WeaponHolder" 318:8 [13783,2903,43]
(2012-12-02 | 16:07:17) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_hunter" 315:62 [6816,2377,6]
(2012-12-02 | 16:07:18) : CreateVehicle Log: #11 Si (f82bf8ae478c83152c31530509c30dc0) - #62 "z_teacher" 315:64 [6833,2372,6]
